region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,4900,8391,246,65,13291,13602
METROPOLITANA SANTIAGO,ALHUE,2801,1696,3030,94,34,4726,4854
BIOBIO,ALTO BIOBIO,2674,1081,2793,116,83,3874,4073
ATACAMA,ALTO DEL CARMEN,2523,1324,2679,69,32,4003,4104
TARAPACA,ALTO HOSPICIO,2502,14060,36140,958,269,50200,51427
LOS LAGOS,ANCUD,2717,10075,21254,468,255,31329,32052
COQUIMBO,ANDACOLLO,2528,4425,5192,186,102,9617,9905
LA ARAUCANIA,ANGOL,2696,7637,31489,508,180,39126,39814
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,89932,139143,4166,1446,229075,234687
BIOBIO,ANTUCO,2662,945,2659,67,26,3604,3697
BIOBIO,ARAUCO,2655,6702,20373,420,175,27075,27670
ARICA Y PARINACOTA,ARICA,2822,46059,91342,3236,892,137401,141529
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,5820,10099,229,127,15919,16275
METROPOLITANA SANTIAGO,BUIN,2797,27545,45291,944,442,72836,74222
ÑUBLE,BULNES,2827,4230,13721,263,138,17951,18352
VALPARAISO,CABILDO,2554,6292,9537,253,128,15829,16210
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,4341,17563,289,153,21904,22346
ANTOFAGASTA,CALAMA,2512,29493,71249,1964,507,100742,103213
LOS LAGOS,CALBUCO,2708,6813,19262,400,253,26075,26728
ATACAMA,CALDERA,2518,5993,7000,190,106,12993,13289
VALPARAISO,CALERA,2559,15650,20491,687,249,36141,37077
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,6950,13012,272,125,19962,20359
VALPARAISO,CALLE LARGA,2550,3839,6818,158,57,10657,10872
ARICA Y PARINACOTA,CAMARONES,2823,571,1269,32,6,1840,1878
TARAPACA,CAMIÑA,2504,172,1210,11,5,1382,1398
COQUIMBO,CANELA,2533,3482,4113,113,89,7595,7797
BIOBIO,CAÑETE,2656,5615,19848,347,180,25463,25990
LA ARAUCANIA,CARAHUE,2676,4654,14320,261,162,18974,19397
VALPARAISO,CARTAGENA,2565,6157,8657,279,94,14814,15187
VALPARAISO,CASABLANCA,2542,6814,13624,382,134,20438,20954
LOS LAGOS,CASTRO,2716,12551,20946,546,278,33497,34321
VALPARAISO,CATEMU,2570,3478,7059,149,83,10537,10769
MAULE,CAUQUENES,2622,5837,26340,393,173,32177,32743
METROPOLITANA SANTIAGO,CERRILLOS,2759,23799,27627,766,303,51426,52495
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,45161,48915,1555,558,94076,96189
LOS LAGOS,CHAITEN,2733,859,2251,33,48,3110,3191
MAULE,CHANCO,2623,1605,6546,97,46,8151,8294
ATACAMA,CHAÑARAL,2520,4477,4730,154,67,9207,9428
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,2603,3024,9665,154,82,12689,12925
BIOBIO,CHIGUAYANTE,2644,22944,36041,1092,360,58985,60437
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CHILE CHICO,2745,1448,1948,47,31,3396,3474
ÑUBLE,CHILLAN,2826,42762,92596,1785,698,135358,137841
ÑUBLE,CHILLAN VIEJO,2828,5983,14444,284,100,20427,20811
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2604,7853,20253,412,193,28106,28711
LA ARAUCANIA,CHOLCHOL,2695,2479,6990,184,65,9469,9718
LOS LAGOS,CHONCHI,2718,3663,7449,122,90,11112,11324
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CISNES,2740,1218,2308,34,39,3526,3599
